Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4246,1999,6.977147816025456,47490,1,0
0.3803,3263,10.829279592309474,56314,2,0
0.4329,2361,7.3538788522848035,46099,1,0
0.4101,2536,5.593001577513265,61346,3,1
0.4288,894,5.356496561708289,61657,3,1
0.4043,518,5.517879161528977,54093,2,0
0.4913,588,10.807899461400359,34776,1,0
0.4102,1347,9.591422776006954,37206,1,0
0.4495,1027,4.392357691550128,49187,1,0
0.4426,619,6.082589285714286,50064,2,0
0.4196,1283,7.373440939104915,51326,2,0
0.4364,1759,8.010086775940072,49030,1,0
0.4218,1540,7.902709253007877,53652,2,0
0.4598,10167,5.793711577073545,56034,2,0
0.433,1595,8.60215053763441,43322,1,0
0.4516,354,5.959302325581396,44375,1,0
0.4544,24907,8.753145243321377,55207,2,0
0.3888,6524,7.357309796334187,66571,4,1
0.468,1245,11.450770602471023,37493,1,0
0.384,1181,6.611410948342328,58817,3,1
0.4349,734,2.165506573859242,67948,4,1
0.3906,287,4.321608040201005,60083,3,1
0.501,910,6.234225138818778,50300,2,0
0.5717,248,5.48604427333975,61071,3,1
0.4587,486,2.546554193856438,75353,4,1
0.4394,416,1.0178117048346056,55842,2,0
0.4478,250,2.030456852791878,70391,4,1
0.4891,3229,9.429937952430196,40919,1,0
0.4471,423,2.8942115768463075,59048,3,1
0.4595,1233,3.727180527383367,54449,2,0
0.4572,295,0.9433962264150944,56429,2,0
0.418,865,9.555408095554082,69596,4,1
0.4149,349,2.181138346489406,66295,3,1
0.4234,274,5.613908004346251,60649,3,1
0.4468,2216,4.868421052631579,49561,1,0
0.4437,13352,6.195625660622815,97493,4,1
0.4495,8175,7.721517637145203,70098,4,1
0.4326,4186,7.123302671922908,55741,2,0
0.4348,2069,6.993228276691349,59887,3,1
0.4543,20640,7.578419703639329,61155,3,1
0.4112,1293,5.85612968591692,61436,3,1
0.4009,586,5.112693921358182,50972,2,0
0.4379,8913,7.127511689624669,60913,3,1
0.4537,245,6.302021403091558,50203,2,0
0.4387,515,4.823881830389422,51791,2,0
0.4251,2592,4.4223482440302115,55164,2,0
0.4662,84516,7.825527525225448,77252,4,1
0.4679,11508,10.581971881024653,45629,1,0
0.4879,3934,7.9494296615239755,76110,4,1
0.4592,8697,9.462888399301072,54224,2,0
0.4514,12602,8.775072425307947,70704,4,1
0.5054,1428,11.752136752136751,72188,4,1
0.4567,6270,8.20754716981132,50578,2,0
0.4876,6101,10.951148104236735,55668,2,0
0.4754,10193,7.267460211689943,85313,4,1
0.4663,3320,9.892796689862704,47115,1,0
